engine,case,sample,instructions,cycles,task_clock_ms
hermes,N7_fapply,4,26074132245,4853335409,1244532320.000
hermes,N6_fcall,4,3289877596,681403112,174739280.000
hermes,N5_push_pop,4,14668577164,2505450064,642466032.000
hermes,N4_hasown_string,4,31024110171,4819050532,1235733568.000
hermes,N3_charcodeat,4,28372974040,4473792487,1147200848.000
hermes,N2_max3_variadic,4,18969985284,3094323399,793469152.000
hermes,N1m_abs_method,4,13718954217,2673744841,685622656.000
hermes,N1_abs_hoisted,4,10617119528,1850684611,474569040.000
hermes,ctrl,4,2364436142,684983009,175654176.000
hermes,empty,4,12017853,7739033,1990512.000
qjs,C5_replace_fn,4,33102160698,5284186137,1355001936.000
qjs,C4_sort8,4,14610798850,1963951033,503610928.000
qjs,C3_map8,4,43371181277,6115009357,1568046784.000
qjs,C2_reduce8,4,21469010911,2877807148,737947392.000
qjs,C1_foreach8,4,22455213009,2954450306,757599920.000
qjs,N7_fapply,4,28912243848,4415941123,1132360976.000
qjs,N6_fcall,4,17984282570,3054139772,783165184.000
qjs,N5_push_pop,4,33588958099,5158992493,1322898080.000
qjs,N4_hasown_string,4,46006918421,6957515786,1784086448.000
qjs,N3_charcodeat,4,32957037372,4855835657,1245162816.000
qjs,N2_max3_variadic,4,24361207809,3767217057,966013648.000
qjs,N1m_abs_method,4,25063349992,4555942799,1168263056.000
qjs,N1_abs_hoisted,4,21460639878,3373406836,865031520.000
qjs,ctrl,4,15345993303,2079589046,533263056.000
qjs,empty,4,2273633,1467707,377856.000
zjs,C5_replace_fn,4,42438581434,9991069227,2561980880.000
zjs,C4_sort8,4,28676665005,6585701348,1688744032.000
zjs,C3_map8,4,46031962712,8767579416,2248283728.000
zjs,C2_reduce8,4,35964382514,6882782847,1764925936.000
zjs,C1_foreach8,4,27699158450,5132937937,1316220784.000
zjs,N7_fapply,4,36094526308,6752166279,1731429088.000
zjs,N6_fcall,4,23512167006,3729335260,956300080.000
zjs,N5_push_pop,4,27016018633,5263440258,1349682832.000
zjs,N4_hasown_string,4,48721648927,9562336490,2452063280.000
zjs,N3_charcodeat,4,30030856955,5156652146,1322309200.000
zjs,N2_max3_variadic,4,36919548126,7197621054,1845664384.000
zjs,N1m_abs_method,4,29016303366,5778003826,1481635168.000
zjs,N1_abs_hoisted,4,28116032973,5375891942,1378536048.000
zjs,ctrl,4,10152150068,1792203459,459591488.000
zjs,empty,4,2886866,2049263,527200.000
